ID,Device Name
4530,{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]
4544,{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]
4554,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4566,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
8528,{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]
4531,{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]
4545,{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]
4567,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
4589,{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]
4608,{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]
4612,{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX
4618,{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX
4646,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4657,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
10079,{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]
10955,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-]
3061,{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF]
10015,{SFT-CAAS-10-243} (192.168.10.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
10021,{SFT-CAAS-10-244} (192.168.10.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
9235,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
10865,{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16  [TP-GF]
10870,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF]
10777,
8529,{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]
10917,{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]
7079,WSS-Backup_Server (10.111.103.61_Windows)(STT-GIFT)
4532,{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]
4546,{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]
4555,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4568,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
4590,{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]
4609,{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]
4613,{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX
4619,{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX
4647,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4658,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
10990,{isp-wr-gc-192-168-100-223} (192.168.100.223) [MK-CCRS317-1G-16S+] @
11011,{isp-wr-gc-192-168-100-224} (192.168.100.224) [MK-CRS317-1G-16S+] @
10755,{isp-wr-gc-192-168-100-224} (192.168.100.224) [MK-CRS317-1G-16S+] @
10247,{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}
10257,192.168.101.235
10336,192.168.101.234
10775,
4556,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4569,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
4648,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4659,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
