"Device","Device(RAW)","Host","Host(RAW)","ID","ID(RAW)","Parent ID","Parent ID(RAW)"
"vprox-103-71 (10.100.103.71)(vCenter05)","vprox-103-71 (10.100.103.71)(vCenter05)","10.100.103.71","10.100.103.71","6919","6919","6584","6584"
"vprox-103-72 (10.100.103.72)(vCenter05)","vprox-103-72 (10.100.103.72)(vCenter05)","10.100.103.72","10.100.103.72","6964","6964","6584","6584"
"vproxy-103-51 (10.100.103.51) (vCentor01)","vproxy-103-51 (10.100.103.51) (vCentor01)","10.100.103.51","10.100.103.51","6610","6610","6584","6584"
"vproxy-103-52 (10.100.103.52) (vCentor01)","vproxy-103-52 (10.100.103.52) (vCentor01)","10.100.103.52","10.100.103.52","6627","6627","6584","6584"
"vproxy-103-53 (10.100.103.53) (vCentor01)","vproxy-103-53 (10.100.103.53) (vCentor01)","10.100.103.53","10.100.103.53","6708","6708","6584","6584"
"vproxy-103-73 (10.100.103.73)(vCente05)","vproxy-103-73 (10.100.103.73)(vCente05)","10.100.103.73","10.100.103.73","6982","6982","6584","6584"
"vproxy-103-81 (10.100.103.81) (vCentor04)","vproxy-103-81 (10.100.103.81) (vCentor04)","10.100.103.81","10.100.103.81","6731","6731","6584","6584"
"vproxy-103-82 (10.100.103.82) (vCentor04)","vproxy-103-82 (10.100.103.82) (vCentor04)","10.100.103.82","10.100.103.82","6732","6732","6584","6584"
"vproxy-103-90 (10.100.103.90) (vCenter04)","vproxy-103-90 (10.100.103.90) (vCenter04)","10.100.103.90","10.100.103.90","9378","9378","6584","6584"
"Vproxy-103-91 (10.133.103.91) (vCenter11)","Vproxy-103-91 (10.133.103.91) (vCenter11)","10.133.103.91","10.133.103.91","9271","9271","6584","6584"
"Vproxy-103-92 (10.133.103.92) (vCenter11)","Vproxy-103-92 (10.133.103.92) (vCenter11)","10.133.103.92","10.133.103.92","9299","9299","6584","6584"
"WSS-Backup_Server (10.111.103.61_Windows)(STT-GIFT)","WSS-Backup_Server (10.111.103.61_Windows)(STT-GIFT)","10.111.103.61","10.111.103.61","7054","7054","7052","7052"
"WSS-Backup_Server 10.100.103.61 (Windows_JDC)","WSS-Backup_Server 10.100.103.61 (Windows_JDC)","10.100.103.61","10.100.103.61","7053","7053","7052","7052"
