Sensor ID,ids,
6391,id415,id415=6391
6390,id416,id416=6390
6419,id417,id417=6419
6803,id418,id418=6803
6804,id419,id419=6804
6805,id420,id420=6805
6426,id421,id421=6426
6427,id422,id422=6427
6440,id423,id423=6440
6441,id424,id424=6441
5076,id425,id425=5076
5077,id426,id426=5077
5078,id427,id427=5078
5079,id428,id428=5079
5827,id429,id429=5827
6095,id430,id430=6095
6645,id431,id431=6645
6428,id432,id432=6428
6429,id433,id433=6429
6491,id434,id434=6491
6646,id435,id435=6646
5249,id436,id436=5249
5250,id437,id437=5250
5288,id438,id438=5288
6845,id439,id439=6845
6687,id440,id440=6687
6688,id441,id441=6688
6706,id442,id442=6706
6707,id443,id443=6707
6708,id444,id444=6708
6648,id445,id445=6648
6650,id446,id446=6650
